def_count,id,l_pit,moments_x,moments_y,ratio,s_pit,wxh
43,547.jpg,0,248,288,1.2109375,1,178560
56,1139.jpg,0,182,396,2.2588996764,0,215682
8,53.jpg,5,523,570,0.8655967904,2,860411
41,1381.jpg,0,392,249,0.5263157895,3,351310
27,659.jpg,0,409,225,0.4666666667,6,306180
40,1459.jpg,0,624,288,0.474701012,3,560892
16,1028.jpg,4,452,306,0.6695869837,7,427465
79,252.jpg,0,575,261,0.408,0,516375
15,962.jpg,4,299,282,0.9150579151,4,245532
54,1263.jpg,0,116,215,2.2298850575,0,67512
37,1152.jpg,0,301,283,0.806763285,3,311121
32,1217.jpg,0,356,189,0.5666666667,0,204000
10,1000.jpg,3,299,269,0.8538899431,5,237150
44,1542.jpg,0,316,192,0.5914742451,2,187479
38,993.jpg,0,312,203,0.5102339181,1,238716
45,1338.jpg,0,899,108,0.095324833,0,258579
50,406.jpg,0,498,261,0.440645774,1,488592
25,1438.jpg,0,339,211,0.5890410959,0,200896
60,577.jpg,0,344,160,0.3801652893,0,200376
15,858.jpg,5,511,333,0.6670353982,4,545112
55,1150.jpg,0,135,271,2.3853658537,0,100245
9,568.jpg,4,625,622,0.7844463229,1,1097824
33,845.jpg,0,253,216,0.6734006734,4,237600
41,820.jpg,0,379,254,0.5511713933,3,362517
15,1391.jpg,4,577,644,0.8299559471,1,1069170
49,423.jpg,0,740,119,0.1466325661,0,201756
20,29.jpg,0,178,251,1.6599326599,8,146421
39,1233.jpg,0,424,156,0.3642213642,4,219891
64,1143.jpg,0,128,213,1.801980198,0,73528
54,310.jpg,0,315,168,0.4328358209,1,157383
61,1227.jpg,0,491,255,0.5436554133,2,401153
52,65.jpg,0,442,184,0.3461091754,0,256578
19,630.jpg,2,277,274,1.1041214751,6,234649
62,135.jpg,0,197,342,2.1016949153,2,182900
22,87.jpg,0,106,169,1.8831168831,0,44660
35,1335.jpg,0,251,216,0.7844311377,3,196893
33,1294.jpg,0,95,234,3.1832061069,0,54627
13,593.jpg,6,627,487,0.7678571429,3,1061928
65,224.jpg,0,313,203,0.6672862454,1,193142
12,167.jpg,3,351,416,1.0245901639,4,381250
20,333.jpg,5,584,298,0.5383828045,6,513902
43,139.jpg,0,418,203,0.4519480519,4,267960
38,674.jpg,0,189,353,2.0283911672,0,203831
42,264.jpg,0,267,260,0.9153543307,2,236220
10,1331.jpg,4,445,420,0.8672922252,3,482662
23,245.jpg,0,190,238,1.5251572327,9,154230
54,1214.jpg,0,345,113,0.2820512821,0,109824
20,901.jpg,0,442,176,0.3634085213,9,231420
34,84.jpg,0,193,378,2.1760797342,0,197155
16,974.jpg,6,453,318,0.7117852975,2,522770
34,1549.jpg,0,97,161,2.0291970803,0,38086
38,942.jpg,0,248,223,0.8142857143,3,195510
25,1536.jpg,0,334,202,0.6926994907,5,240312
30,1047.jpg,0,346,179,0.4838709677,1,205065
18,1473.jpg,0,136,175,1.2882882883,2,63492
12,11.jpg,7,464,404,0.8105381166,3,644916
46,1240.jpg,0,173,379,2.2271186441,0,193815
50,711.jpg,1,487,438,0.7960784314,6,828240
23,894.jpg,0,433,215,0.4419161677,5,308115
11,164.jpg,4,279,280,0.9072978304,5,233220
30,783.jpg,0,230,273,1.3842105263,2,199880
5,362.jpg,4,393,372,0.8019257221,0,423841
36,835.jpg,0,176,400,2.3817567568,1,208680
35,926.jpg,0,544,247,0.4569672131,16,435296
50,359.jpg,0,474,261,0.4984552008,3,469964
48,918.jpg,0,429,182,0.4044389642,4,266008
24,698.jpg,2,367,415,1.0122887865,7,429009
38,504.jpg,0,415,227,0.4628378378,2,364968
40,462.jpg,0,321,191,0.6306913997,3,221782
30,413.jpg,0,318,207,0.7196581197,3,246285
36,232.jpg,1,253,272,0.9363057325,3,207711
32,1295.jpg,0,194,359,2.0653594771,2,193392
28,1441.jpg,3,312,214,0.5472560976,7,235504
23,1084.jpg,0,360,193,0.475975976,7,211122
45,655.jpg,0,165,284,1.9503546099,0,155100
40,61.jpg,0,320,199,0.5972222222,3,198144
38,304.jpg,0,324,287,0.7672672673,2,340326
16,1372.jpg,4,291,335,1.201980198,5,306535
43,1014.jpg,0,317,186,0.4689440994,0,194488
13,1370.jpg,6,284,302,0.875739645,1,225108
30,1468.jpg,0,445,259,0.537037037,5,400896
30,1033.jpg,0,229,294,1.2630208333,4,186240
28,1158.jpg,2,378,417,0.9910313901,4,443547
50,899.jpg,0,206,321,1.7431192661,1,186390
34,919.jpg,0,191,405,2.2119205298,0,201736
9,385.jpg,4,372,332,0.8918083462,4,373319
36,138.jpg,0,258,161,0.4415357766,1,144969
65,60.jpg,0,293,198,0.6837121212,1,190608
9,417.jpg,3,423,493,0.932853717,2,648852
44,450.jpg,0,327,174,0.4416796267,1,182612
33,985.jpg,0,247,310,1.2245862884,4,219114
49,300.jpg,0,302,190,0.5367047308,0,201677
28,46.jpg,0,241,294,1.3053435115,5,201609
21,1502.jpg,1,416,195,0.4143222506,6,253368
24,243.jpg,0,194,299,1.6697247706,0,178542
39,1176.jpg,0,212,297,1.566572238,1,195209
12,818.jpg,6,361,502,1.3154761905,4,594048
37,357.jpg,0,186,208,1.2071197411,0,115257
55,614.jpg,0,314,189,0.59375,1,196992
30,3.jpg,0,398,235,0.6118210863,4,239758
52,103.jpg,0,393,139,0.2946927374,0,151076
46,341.jpg,0,407,264,0.4967320261,3,418608
11,1060.jpg,4,571,611,0.859344894,1,925896
32,596.jpg,0,367,155,0.3698224852,0,169000
44,430.jpg,2,513,496,0.9148073022,3,889372
21,237.jpg,0,253,290,1.1727272727,3,227040
30,288.jpg,1,278,186,0.7454545455,4,144320
46,18.jpg,0,350,237,0.5431266846,3,299026
26,1485.jpg,0,354,168,0.4190031153,4,172698
19,478.jpg,0,202,347,1.7976878613,2,215212
58,875.jpg,0,133,259,2.2238095238,0,98070
20,1501.jpg,0,368,196,0.5264797508,1,216996
41,1332.jpg,0,435,184,0.3777506112,2,252762
37,374.jpg,0,186,221,1.2151898734,1,121344
56,588.jpg,0,371,155,0.411589896,0,186421
20,303.jpg,0,199,255,1.4732142857,9,166320
11,1446.jpg,3,471,531,0.8446808511,2,746360
58,1046.jpg,0,399,153,0.3417721519,0,172773
25,947.jpg,0,235,290,1.156097561,1,194340
49,1121.jpg,0,331,127,0.3173553719,0,116160
20,1259.jpg,1,392,193,0.4676258993,4,225875
57,1061.jpg,0,396,181,0.388121547,1,203444
44,716.jpg,0,340,332,0.8224043716,3,440664
40,269.jpg,0,358,185,0.4479315264,0,220114
29,287.jpg,0,356,184,0.53784219,0,207414
37,12.jpg,0,666,258,0.3855024712,16,568152
37,169.jpg,0,322,189,0.5491803279,1,204350
38,1069.jpg,0,290,215,0.6041666667,3,235248
41,520.jpg,0,364,223,0.5169606513,0,280797
61,375.jpg,0,472,183,0.3277027027,1,258408
22,1114.jpg,0,381,164,0.3891156463,0,210210
8,965.jpg,3,468,453,0.7765726681,4,660152
27,397.jpg,0,238,306,1.2750582751,6,234663
48,747.jpg,0,412,238,0.4799081515,2,364078
26,134.jpg,0,326,187,0.5015151515,3,218460
33,648.jpg,0,464,270,0.5337763012,7,435246
24,32.jpg,0,412,160,0.3355006502,0,198402
35,1142.jpg,0,305,174,0.5507745267,0,185920
51,1385.jpg,0,123,205,1.8743455497,0,68378
23,1027.jpg,0,118,158,1.5824175824,0,52416
60,627.jpg,0,257,189,0.5817120623,1,153686
46,756.jpg,0,367,217,0.512890095,2,278586
45,714.jpg,0,216,293,1.3181818182,0,184382
49,1484.jpg,0,496,140,0.2384701912,0,188468
32,1524.jpg,0,323,381,1.0528846154,3,409968
40,884.jpg,0,365,176,0.4558139535,5,189630
48,255.jpg,0,498,152,0.2598152425,0,194850
51,787.jpg,0,183,335,2.0192307692,0,196560
22,1299.jpg,0,140,237,1.9350649351,7,103257
31,1053.jpg,0,273,191,0.6466942149,0,151492
75,809.jpg,0,542,317,0.6158798283,2,534968
72,360.jpg,0,342,202,0.6547406082,2,204594
26,1340.jpg,0,481,229,0.4578177728,6,361823
36,416.jpg,0,303,267,0.7791798107,4,313196
31,1302.jpg,0,337,194,0.4749262537,1,218316
64,707.jpg,0,558,204,0.3691830403,0,345219
33,16.jpg,1,245,265,0.9731543624,2,194445
26,1322.jpg,0,454,203,0.3972445465,4,301366
29,34.jpg,0,418,254,0.5120551091,2,388466
30,250.jpg,0,372,184,0.421418637,5,217857
59,77.jpg,0,814,111,0.1130790191,0,243688
41,584.jpg,0,225,228,0.9409090909,2,182160
43,1095.jpg,0,172,412,2.6597222222,0,220608
33,755.jpg,0,284,190,0.6236162362,0,183196
53,730.jpg,0,547,221,0.4103343465,2,399735
12,1467.jpg,4,396,357,0.7228915663,3,403380
33,1565.jpg,0,369,209,0.4503401361,11,243285
24,652.jpg,1,405,466,1.0065445026,4,587516
26,634.jpg,0,239,323,1.2400932401,5,228228
13,1109.jpg,4,398,458,1.0054794521,3,535820
46,796.jpg,0,533,138,0.232936078,0,198445
45,1118.jpg,0,289,385,1.3853564547,7,373161
51,1475.jpg,0,510,129,0.213592233,0,183546
24,1038.jpg,6,549,331,0.6414686825,2,550044
46,1388.jpg,1,535,216,0.4327122153,2,403788
25,1073.jpg,0,506,131,0.224975223,0,229043
39,45.jpg,0,410,245,0.6125356125,1,301860
41,115.jpg,0,277,195,0.6923076923,2,187200
37,931.jpg,0,84,212,3.6697247706,0,43600
11,355.jpg,5,445,382,0.8366863905,4,597415
57,113.jpg,0,356,187,0.3997289973,0,217710
46,463.jpg,0,306,172,0.5045045045,0,155400
35,1188.jpg,0,292,283,0.8180327869,3,304390
13,1531.jpg,5,496,425,0.8563474388,6,690562
27,1220.jpg,0,409,185,0.4052287582,7,237150
28,1237.jpg,0,379,178,0.4114365411,0,211515
53,458.jpg,0,381,165,0.3758865248,0,186825
32,1540.jpg,0,264,204,0.6336134454,3,224315
36,1568.jpg,0,461,169,0.3553719008,3,254947
38,656.jpg,0,270,218,0.6975524476,3,228228
25,1243.jpg,2,376,448,0.9944134078,6,509792
41,1363.jpg,0,324,177,0.4017094017,1,197964
46,1333.jpg,0,202,290,1.4450549451,0,191464
56,273.jpg,0,274,202,0.6892655367,0,194346
45,1244.jpg,0,346,141,0.3946037099,0,138762
56,1103.jpg,0,500,139,0.2261251372,0,187666
34,944.jpg,0,438,182,0.3621346887,3,224295
30,500.jpg,0,320,199,0.6709090909,1,202950
44,550.jpg,0,417,370,0.7472766885,8,629748
50,1282.jpg,0,503,189,0.3540510544,0,287419
34,492.jpg,0,506,199,0.4050493963,2,336159
22,1545.jpg,0,253,293,1.2054176072,4,236562
28,1051.jpg,0,544,215,0.376899696,7,367164
52,1491.jpg,0,134,281,2.5094339623,0,112784
48,1254.jpg,0,389,344,0.7755344418,2,549826
52,1092.jpg,0,490,155,0.275862069,1,208800
20,1415.jpg,0,395,167,0.3582278481,1,223570
18,257.jpg,0,304,182,0.5271565495,0,206580
57,271.jpg,0,307,180,0.472361809,1,168354
23,69.jpg,0,89,121,1.624,0,25375
44,1023.jpg,0,371,125,0.2823871907,0,133278
61,1078.jpg,0,463,147,0.2517564403,0,183610
38,1395.jpg,0,211,303,1.6206896552,0,196272
37,633.jpg,0,102,177,2.8584070796,0,36499
36,1377.jpg,0,242,207,0.6473594549,2,223060
23,278.jpg,0,383,150,0.3624161074,0,201150
39,177.jpg,0,345,384,1.0206349206,4,405090
29,1523.jpg,4,447,269,0.6114732725,4,359723
72,1380.jpg,0,530,218,0.4,0,380250
47,964.jpg,0,346,200,0.5276923077,0,222950
44,127.jpg,0,487,145,0.2377701934,0,183711
46,1490.jpg,0,344,169,0.4886561955,2,160440
23,415.jpg,0,128,183,1.3933649289,1,62034
30,380.jpg,0,490,159,0.2957906712,0,228540
22,1396.jpg,0,435,255,0.5200892857,2,417536
53,1113.jpg,0,502,130,0.2163043478,0,183080
55,904.jpg,0,314,211,0.5469522241,1,201524
34,372.jpg,0,467,243,0.4539813857,3,424513
35,1245.jpg,2,371,448,1.1059190031,4,455820
27,6.jpg,0,390,169,0.3997233748,1,208947
40,952.jpg,0,349,190,0.4794117647,0,221680
49,857.jpg,0,194,317,1.7951070336,1,191949
22,866.jpg,0,435,164,0.3583441138,0,214121
31,715.jpg,0,359,195,0.5268138801,3,211756
52,200.jpg,0,409,206,0.4519480519,1,267960
54,795.jpg,0,138,260,2.2325581395,0,103200
46,681.jpg,0,301,114,0.3202247191,0,91314
42,1177.jpg,0,447,272,0.5297239915,3,470058
18,1369.jpg,0,247,291,1.1876430206,2,226803
29,1454.jpg,0,430,207,0.408847185,4,227530
36,1519.jpg,0,222,165,0.7104557641,4,98845
41,1174.jpg,0,360,423,1.0829562594,4,476034
10,1500.jpg,4,585,358,0.6432748538,3,677160
22,514.jpg,0,340,140,0.369205298,2,134692
66,363.jpg,0,421,251,0.5568475452,2,333594
41,1179.jpg,0,431,174,0.3551282051,1,216060
42,1290.jpg,0,109,228,2.5962732919,0,67298
30,369.jpg,0,319,182,0.5159235669,0,203472
50,814.jpg,0,455,183,0.3450704225,0,250488
47,1032.jpg,0,95,224,3.6347826087,0,48070
12,446.jpg,7,572,511,0.8515283843,4,1116375
48,1469.jpg,0,476,150,0.2440944882,0,192913
50,1583.jpg,0,760,107,0.135954136,0,202686
64,1573.jpg,0,147,267,2.4027777778,0,112104
12,1007.jpg,4,377,294,0.769874477,3,395784
31,1309.jpg,1,316,198,0.6989619377,2,233512
65,708.jpg,0,337,171,0.4281567489,0,203255
57,195.jpg,0,343,194,0.5658783784,2,198320
11,68.jpg,4,321,300,0.8493870403,5,276935
33,1168.jpg,0,430,208,0.4050802139,3,226644
56,639.jpg,0,139,215,1.6880733945,0,80224
48,258.jpg,0,331,225,0.6411960133,0,232372
40,1339.jpg,0,322,141,0.4262589928,1,131772
33,308.jpg,0,281,279,0.8620689655,2,290000
33,238.jpg,2,359,396,0.9464544139,4,451914
6,915.jpg,5,394,357,0.748308525,0,408667
29,1566.jpg,0,199,237,1.2521489971,2,152513
16,1197.jpg,4,579,576,0.7587443946,1,943290
68,1111.jpg,0,534,293,0.5436793422,1,514717
36,609.jpg,0,328,172,0.4474097331,0,181545
41,778.jpg,0,422,132,0.2798948752,0,162093
60,71.jpg,0,274,204,0.6728280961,0,196924
35,401.jpg,0,353,193,0.5340729002,4,212647
22,1210.jpg,1,311,218,0.5810810811,7,257742
32,179.jpg,0,352,143,0.3828756058,0,146703
40,922.jpg,0,88,244,3.674796748,0,55596
5,578.jpg,4,396,377,0.7290575916,0,425548
23,91.jpg,0,487,241,0.4914481186,12,377987
53,1488.jpg,0,722,113,0.1272871917,1,201120
54,571.jpg,0,118,217,2.2542372881,0,70623
47,315.jpg,0,188,331,2.1353135314,2,196041
25,524.jpg,0,414,188,0.4023285899,10,240403
35,833.jpg,0,239,279,1.0720930233,6,198230
9,1019.jpg,3,288,275,0.8718446602,5,231235
28,1556.jpg,0,242,187,0.6720183486,4,127748
33,234.jpg,0,305,488,1.5561497326,9,489753
58,1580.jpg,0,134,256,2.1474654378,0,101122
51,132.jpg,0,511,138,0.2373068433,0,194790
10,1318.jpg,5,479,501,0.9069518717,0,792880
31,912.jpg,6,579,324,0.5758176412,3,586229
13,1248.jpg,7,517,392,0.717,4,717000
29,7.jpg,0,357,181,0.4436519258,4,218011
26,1241.jpg,2,317,412,1.0660377358,3,431208
55,1256.jpg,0,492,262,0.4812889813,1,445406
30,1185.jpg,0,370,199,0.56726094,2,215950
39,402.jpg,0,303,201,0.5704467354,0,193224
27,193.jpg,0,255,187,0.7146226415,4,128472
12,686.jpg,5,428,570,1.2525380711,2,777756
26,282.jpg,0,248,316,1.1941309255,6,234347
44,1160.jpg,0,208,291,1.5082872928,1,197652
44,229.jpg,0,303,179,0.4752321981,2,198322
28,1234.jpg,0,168,226,1.724137931,9,117450
33,1492.jpg,0,415,186,0.4112149533,4,230692
41,937.jpg,0,248,106,0.345814978,0,71278
44,507.jpg,0,445,149,0.3350125945,1,211204
37,690.jpg,0,238,285,1.1722365039,0,177384
14,533.jpg,6,551,446,0.7465034965,3,976976
54,1352.jpg,0,400,143,0.3347578348,0,164970
25,663.jpg,0,346,200,0.6087689713,0,214073
28,1296.jpg,1,581,255,0.4288354898,14,502048
42,343.jpg,0,89,244,3.6484375,0,59776
36,933.jpg,0,305,226,0.6371100164,3,236292
10,1215.jpg,4,375,492,1.2700296736,2,576944
33,1156.jpg,0,210,386,1.8651026393,1,216876
10,546.jpg,5,316,279,0.8533950617,3,358344
37,902.jpg,0,240,215,0.6737213404,4,216594
35,1202.jpg,0,352,209,0.6147672552,1,238609
59,666.jpg,0,142,290,2.4234234234,0,119436
12,734.jpg,6,641,430,0.7077051926,4,1008930
28,22.jpg,0,103,157,1.8344827586,0,38570
58,497.jpg,0,511,203,0.384787472,0,307536
41,545.jpg,0,122,263,2.4947368421,0,90060
50,173.jpg,0,439,145,0.2791519435,1,201213
31,1510.jpg,0,185,212,1.1803797468,1,117868
46,654.jpg,0,176,290,1.8514851485,2,169983
63,683.jpg,0,314,191,0.4857142857,2,192780
11,322.jpg,4,496,449,0.7664233577,6,704865
32,67.jpg,0,435,173,0.3419689119,4,203808
53,757.jpg,0,306,194,0.5616666667,1,202200
13,1212.jpg,3,315,317,1.0694183865,6,303810
